tag_name,cosine_similarity
government,0.4299
police,0.4091
police,0.3897
fraud,0.3856
enforcement,0.3632
police,0.3556
corruption,0.3524
corruption,0.3454
fraud,0.3428
justice,0.3423
scams,0.3422
police,0.3390
judiciary,0.3386
taxes,0.3291
pyramid,0.3112
economy,0.3033
mafia,0.2865
scam,0.2776
fraud,0.2743
payments,0.2699
scams,0.2660
scammers,0.2635
countries,0.2523
police,0.2362
government,0.2163
compensation,0.2135
responsibility,0.1971
citizens,0.1834
scam,0.1735
government,0.1663
protection,0.1636
economy,0.1587
failure,0.1112
failure,0.1009
court,0.0988
specialservices,0.0715
