tag_name,cosine_similarity
sciencefiction,0.5913
discussion,0.5487
Scientology,0.5164
food,0.3705
protein,0.3489
rationality,0.3276
cults,0.3131
utopia,0.2943
fiction,0.2621
chess,0.2562
knowledge,0.2539
moment,0.2476
religion,0.2473
sciencefiction,0.2467
fiction,0.2405
debate,0.2390
religion,0.2349
prophecy,0.2344
secret_news,0.2338
organization,0.2282
cult,0.2256
bitcoin,0.2142
pause,0.2017
reflection,0.1635
strategy,0.1618
pseudo-rethinking,0.1416
rations,0.1244
no_power,0.1200
media,0.1120
science,0.0732
sciences,0.0453
perspective,0.0332
Greta_Thunberg,0.0028
fall_apart,-0.0053
