tag_name,cosine_similarity
Corruption,0.4172
corruption,0.4155
wealthprotection,0.4028
fraud,0.3775
european_court,0.3709
financial_consequences,0.3606
justice,0.3594
scandal,0.3193
eu_court_justice,0.3051
scam,0.3015
scams,0.2974
investigation,0.2903
policing,0.2891
crime,0.2770
law_enforcement,0.2611
inflation,0.2585
accountability,0.2526
comparative_justice,0.2520
wealth,0.2471
Governance,0.2455
government,0.2444
conviction,0.2383
police,0.2285
protection,0.2229
Police,0.2197
compensation,0.2159
investment,0.2126
court,0.2053
regulation,0.2043
economy,0.1974
ethics,0.1925
umber\_gold,0.1864
law enforcement,0.1855
responsibility,0.1844
politics,0.1817
economics,0.1758
societalchange,0.1736
society_change,0.1707
societal_change,0.1688
morale,0.1583
pyramid,0.1422
history,0.1415
ancientroman,0.1398
recruitment,0.1387
media,0.1327
finance,0.1322
system,0.1301
ancientrome,0.1292
society,0.1260
help,0.1251
pyramid_schemes,0.1143
security,0.1115
saying,0.1075
societal_perception,0.1048
pillars,0.1004
wisdom,0.1003
proverb,0.0999
respect,0.0911
culture,0.0276
tradition,0.0162
