tag_name,cosine_similarity
discussion,0.5487
rhetoric,0.4326
"""scifi""",0.4181
food,0.3705
communication,0.3496
cult,0.3347
futurism,0.3295
dystopia,0.3112
government,0.2757
"""technology""",0.2733
fiction,0.2621
chess,0.2562
moment,0.2476
city,0.2413
debate,0.2390
religion,0.2349
cult,0.2256
absurdity,0.1945
opinion,0.1916
scientology,0.1818
scientology,0.1797
scientology,0.1752
text,0.1412
humor,0.1323
freedom,0.1309
mindcontrol,0.1278
power,0.1263
rations,0.1244
media,0.1120
exposure,0.1051
danger,0.0610
"""inequality""",0.0401
