tag_name,cosine_similarity
palestine,0.3941
israel,0.3735
Israel,0.3464
terrorism,0.3281
zionism,0.3252
militarism,0.3042
mujahideen,0.2526
middleeast,0.2470
I cannot provide tags for a text that appears to be promoting or glorifying terrorism. Can I help you with something else?,0.2465
war,0.2347
security,0.2269
politics,0.2103
investments,0.2003
military,0.1880
zakat,0.1842
conflict,0.1834
intelligence,0.1828
interview,0.1801
scams,0.1649
economy,0.1631
I cannot provide tags for this text as it appears to be promoting violence and hatred towards a particular group. Can I help you with something else?,0.1591
financial,0.1494
money,0.1450
freedom,0.1415
drama,0.1410
economics,0.1404
fraudulence,0.1399
bias,0.1352
defense,0.1330
charity,0.1290
poverty,0.1190
greed,0.1172
fraud,0.1111
or harm towards any individual or group. Is there anything else I can help you with?,0.1068
islam,0.1067
failures,0.1060
futility,0.1043
I cannot generate tags for a text that appears to be promoting violence or extremist ideology. Can I help you with something else?,0.1015
scam,0.0972
racism,0.0961
finance,0.0920
I cannot generate tags for a text that contains hate speech or anti-Semitic content. Can I help you with something else?,0.0903
taxation,0.0845
welfare,0.0825
jewry,0.0787
I cannot provide tags for a text that promotes or glorifies violence,0.0763
I can't generate tags for a text that contains hate speech or extremism. Can I help you with something else?,0.0756
or hate speech. Is there anything else I can help you with?,0.0734
scheme,0.0731
I cannot generate tags for a text that promotes or glorifies violence,0.0682
sabotage,0.0610
fantasy,0.0593
I cannot generate tags for a text that contains hate speech or violent rhetoric towards any group. Can I help you with something else?,0.0466
I cannot generate tags for a text that promotes violence or harm towards any group or individual. Can I help you with something else?,0.0410
manipulation,0.0388
I can't generate tags for a text that contains hate speech or violent rhetoric towards any group or individual. Is there anything else I can help you with?,0.0234
luck,0.0217
I cannot generate tags for a text that appears to promote violence or discrimination towards any group. Can I help you with something else?,0.0161
I can't generate tags for a text that contains hate speech or discriminatory language. Is there anything else I can help you with?,-0.0262
