tag_name,cosine_similarity,bleu,rouge-1,rouge-2,rouge-L,bertscore
corruption,0.3575,1.8849031305579466e-06,0.1025,0.008760951188986232,0.052500000000000005,-0.33629000186920166
gossip,0.3308,1.8849031305579466e-06,0.1025,0.008760951188986232,0.052500000000000005,-0.33629000186920166
scandal,0.3242,1.8849031305579466e-06,0.1025,0.008760951188986232,0.052500000000000005,-0.33629000186920166
I cannot generate tags for this text as it appears to promote prostitution. Can I help you with something else?,0.2853,1.8849031305579466e-06,0.1025,0.008760951188986232,0.052500000000000005,-0.33629000186920166
poland,0.2730,1.8849031305579466e-06,0.1025,0.008760951188986232,0.052500000000000005,-0.33629000186920166
pornography,0.2388,1.8849031305579466e-06,0.1025,0.008760951188986232,0.052500000000000005,-0.33629000186920166
influence,0.2328,1.8849031305579466e-06,0.1025,0.008760951188986232,0.052500000000000005,-0.33629000186920166
greed,0.2126,1.8849031305579466e-06,0.1025,0.008760951188986232,0.052500000000000005,-0.33629000186920166
I cannot provide tags for this text as it contains explicit content. Can I help you with something else?,0.1980,1.8849031305579466e-06,0.1025,0.008760951188986232,0.052500000000000005,-0.33629000186920166
hypergamy,0.1973,1.8849031305579466e-06,0.1025,0.008760951188986232,0.052500000000000005,-0.33629000186920166
influencing,0.1881,1.8849031305579466e-06,0.1025,0.008760951188986232,0.052500000000000005,-0.33629000186920166
advertising,0.1824,1.8849031305579466e-06,0.1025,0.008760951188986232,0.052500000000000005,-0.33629000186920166
fame,0.1822,1.8849031305579466e-06,0.1025,0.008760951188986232,0.052500000000000005,-0.33629000186920166
promotion,0.1743,1.8849031305579466e-06,0.1025,0.008760951188986232,0.052500000000000005,-0.33629000186920166
mythology,0.1624,1.8849031305579466e-06,0.1025,0.008760951188986232,0.052500000000000005,-0.33629000186920166
skepticism,0.1611,1.8849031305579466e-06,0.1025,0.008760951188986232,0.052500000000000005,-0.33629000186920166
muziek,0.1541,1.8849031305579466e-06,0.1025,0.008760951188986232,0.052500000000000005,-0.33629000186920166
sexuality,0.1307,1.8849031305579466e-06,0.1025,0.008760951188986232,0.052500000000000005,-0.33629000186920166
business,0.1282,1.8849031305579466e-06,0.1025,0.008760951188986232,0.052500000000000005,-0.33629000186920166
transvestite,0.1243,1.8849031305579466e-06,0.1025,0.008760951188986232,0.052500000000000005,-0.33629000186920166
marketing,0.1227,1.8849031305579466e-06,0.1025,0.008760951188986232,0.052500000000000005,-0.33629000186920166
polish,0.1216,1.8849031305579466e-06,0.1025,0.008760951188986232,0.052500000000000005,-0.33629000186920166
influencer,0.1133,1.8849031305579466e-06,0.1025,0.008760951188986232,0.052500000000000005,-0.33629000186920166
surprise,0.1109,1.8849031305579466e-06,0.1025,0.008760951188986232,0.052500000000000005,-0.33629000186920166
monetary,0.1010,1.8849031305579466e-06,0.1025,0.008760951188986232,0.052500000000000005,-0.33629000186920166
shame,0.0949,1.8849031305579466e-06,0.1025,0.008760951188986232,0.052500000000000005,-0.33629000186920166
economics,0.0894,1.8849031305579466e-06,0.1025,0.008760951188986232,0.052500000000000005,-0.33629000186920166
I can't generate tags for this text. Is there something else I can help you with?,0.0799,1.8849031305579466e-06,0.1025,0.008760951188986232,0.052500000000000005,-0.33629000186920166
idols,0.0666,1.8849031305579466e-06,0.1025,0.008760951188986232,0.052500000000000005,-0.33629000186920166
I cannot create tags for this text. Is there anything else I can help you with?,0.0598,1.8849031305579466e-06,0.1025,0.008760951188986232,0.052500000000000005,-0.33629000186920166
I cannot generate tags for a text that contains hate speech or derogatory language towards any individual or group. Is there anything else I can help you with?,0.0360,1.8849031305579466e-06,0.1025,0.008760951188986232,0.052500000000000005,-0.33629000186920166
budlight,0.0305,1.8849031305579466e-06,0.1025,0.008760951188986232,0.052500000000000005,-0.33629000186920166
loss,0.0084,1.8849031305579466e-06,0.1025,0.008760951188986232,0.052500000000000005,-0.33629000186920166
I cannot create tags for a text that contains explicit content. Is there anything else I can help you with?,-0.0250,1.8849031305579466e-06,0.1025,0.008760951188986232,0.052500000000000005,-0.33629000186920166
