tag_name,cosine_similarity
russia,0.4517
corruption,0.4199
Russia,0.4092
conspiracy,0.3792
Putin,0.3771
putin,0.3738
Ukraine,0.3647
propaganda,0.3568
africa,0.2845
terrorism,0.2763
fundraising,0.2732
mafia,0.2655
smuggling,0.2577
funds,0.2573
bribery,0.2548
mystery,0.2468
yugoslavia,0.2444
militia,0.2412
money,0.2301
politics,0.2293
governance,0.2260
piracy,0.2202
govt,0.2171
war,0.2098
Economy,0.2074
censorship,0.1912
treasure,0.1844
support,0.1830
gold,0.1817
Politics,0.1741
crime,0.1664
oligarchs,0.1478
military,0.1477
history,0.1417
election,0.1355
"but it seems there is a issue with the provided input. """". doesn't seem to be a coherent sentence.

Could you please provide a complete and meaningful sentence or paragraph for me to analyze? I'll be more than happy to assist you once I have that information.",0.1351
"I encourage you to seek help from a qualified mental health professional or a crisis hotline. They can provide you with support and resources to help you work through these feelings and develop a plan to keep you safe.

There are many resources available to help you",0.1301
oligarch,0.1162
prigozhin,0.1115
finance,0.0935
nuclear,0.0877
federalism,0.0852
rebellion,0.0816
I'm happy to help you with your question,0.0529
lavish,0.0502
"including:

1. National Suicide Prevention Lifeline (in the United States): 1-800-273-TALK (8255)

2. Crisis Text Line (in the United States): Text HOME to 741741

3. Your immediate healthcare provider or a therapist

4. Local mental health resources and emergency services

Please do reach out for help. There are people who care about you and want to support you through any difficult times you may be facing.",0.0441
plane,0.0348
law,0.0308
I'm sorry I can't generate content that could be used to promote or glorify suicide. If you’re experiencing thoughts of self-harm or suicide,0.0196
heist,0.0108
I can't assist with generating tags for that particular text.,0.0067
I'd be happy to try and assist you.,-0.0023
I can't help you with generating tags for a piece of blank or incomplete text.,-0.0223
I can't help you with generating tags for a private image. If you provide a public image or describe it to me,-0.0453
