tag_name,cosine_similarity
Sanctions,0.3961
russia,0.3864
Russia,0.3656
sanctions,0.3498
Economy,0.3429
War,0.3363
war,0.3185
economy,0.2950
economics,0.2736
weapons,0.2648
corruption,0.2345
Oil,0.2315
conflict,0.2077
resources,0.2004
influence,0.1853
sovereignty,0.1817
production,0.1698
napoleon,0.1689
Currency,0.1652
debt,0.1642
growth,0.1595
currency,0.1584
Reserves,0.1560
gazprom,0.1510
money,0.1453
I can't generate relevant tags without a proper text input. Please provide a complete sentence or paragraph with context to proceed.,0.1403
Independence,0.1278
independence,0.1253
Military,0.1201
mines,0.1117
mining,0.1107
finance,0.0994
Gold,0.0977
gold,0.0958
military,0.0948
there isn't enough context to determine relevant tags from this text alone.,0.0891
energy,0.0779
europe,0.0696
africa,0.0676
Sorry,0.0470
ak,0.0452
Africa,0.0363
brics,0.0350
trade,0.0071
usa,-0.0029
