tag_name,cosine_similarity
futurism,0.4538
sciencefiction,0.3728
foodrations,0.3688
science_fiction,0.3395
fiction,0.3234
science\_fiction,0.3147
satire,0.3068
food,0.3014
scifi,0.2877
sci_fi,0.2825
climatechange,0.2714
future,0.2407
cryptocurrency,0.2401
discourse,0.2370
skepticism,0.2362
literature,0.2223
diet,0.2052
urbanplanning,0.2051
absurdity,0.2013
knowledge,0.1946
humor,0.1860
intellect,0.1849
politics,0.1782
science,0.1776
belief,0.1657
religion,0.1635
controversy,0.1632
scientology,0.1616
celebrity_culture,0.1548
technology,0.1546
power,0.1525
governance,0.1513
hypocrisy,0.1505
secrecy,0.1488
disbelief,0.1479
economy,0.1359
media,0.1304
celebrity,0.1302
warsaw,0.1291
rations,0.1275
environment,0.1254
religions,0.1248
manipulation,0.1213
c40cities,0.1123
climate,0.1111
understanding,0.1084
policy,0.1039
cult,0.0970
cities,0.0953
president,0.0888
chess,0.0799
communication,0.0797
rationing,0.0774
presidency,0.0741
exposure,0.0592
impairment,0.0468
control,0.0030
